idRegistration, startTime, idValueType, value
40660, 2026-09-03T19:00:00Z, 8, 9.6
40661, 2026-09-03T19:00:00Z, 8, 42.9
40662, 2026-09-03T19:00:00Z, 8, 11.1
40663, 2026-09-03T19:00:00Z, 8, 16.3
40686, 2026-09-03T19:00:00Z, 8, 2.9
40690, 2026-09-03T19:00:00Z, 8, 42.9
40692, 2026-09-03T19:00:00Z, 8, 27.8
40693, 2026-09-03T19:00:00Z, 8, 3.7
40695, 2026-09-03T19:00:00Z, 8, 2.1
40696, 2026-09-03T19:00:00Z, 8, 74.2
40697, 2026-09-03T19:00:00Z, 8, 2.3
40698, 2026-09-03T19:00:00Z, 8, 9.5
40708, 2026-09-03T19:00:00Z, 8, 63.0
40712, 2026-09-03T19:00:00Z, 8, 1.36
40714, 2026-09-03T19:00:00Z, 8, 0.82
40715, 2026-09-03T19:00:00Z, 8, 57.7
40716, 2026-09-03T19:00:00Z, 8, 1.11
40721, 2026-09-03T19:00:00Z, 8, 64.2
40736, 2026-09-03T19:00:00Z, 8, 3.2
40738, 2026-09-03T19:00:00Z, 8, 5.9
40740, 2026-09-03T19:00:00Z, 8, 59.1
40741, 2026-09-03T19:00:00Z, 8, 6.9
40742, 2026-09-03T19:00:00Z, 8, 9.0
40743, 2026-09-03T19:00:00Z, 8, 2.4
40744, 2026-09-03T19:00:00Z, 8, 1.3
40746, 2026-09-03T19:00:00Z, 8, 7.8
40748, 2026-09-03T19:00:00Z, 8, 53.9
40749, 2026-09-03T19:00:00Z, 8, 9.6
40750, 2026-09-03T19:00:00Z, 8, 7.1
40764, 2026-09-03T19:00:00Z, 8, 78.8
40771, 2026-09-03T19:00:00Z, 8, 72.8
40792, 2026-09-03T19:00:00Z, 8, 1.3
40794, 2026-09-03T19:00:00Z, 8, 17.8
40795, 2026-09-03T19:00:00Z, 8, 67.2
40796, 2026-09-03T19:00:00Z, 8, 19.7
40797, 2026-09-03T19:00:00Z, 8, 2.0
